age,economic_status,dist_group,main_mode,share
25 - 35,,5000 - 10000,walk,0.004728851461365358
25 - 35,,10000 - 20000,bike,0.007682270787561695
25 - 35,,10000 - 20000,car,0.08256411938445363
25 - 35,,10000 - 20000,pt,0.03413953170445002
25 - 35,,10000 - 20000,ride,0.0043642825956137716
25 - 35,,10000 - 20000,walk,0.0
25 - 35,,20000+,bike,0.005554350784465158
25 - 35,,20000+,car,0.07846156854476138
25 - 35,,20000+,pt,0.034110263739137746
25 - 35,,20000+,ride,0.0
25 - 35,,20000+,walk,0.0
35 - 66,,0 - 1000,bike,0.05181161053759849
35 - 66,,0 - 1000,car,0.02869245380120564
35 - 66,,0 - 1000,pt,0.003421405374412776
35 - 66,,0 - 1000,ride,0.0028911620348000154
35 - 66,,0 - 1000,walk,0.14807898962179342
35 - 66,,1000 - 2000,bike,0.04331140816246531
35 - 66,,1000 - 2000,car,0.05027321686001781
35 - 66,,1000 - 2000,pt,0.011441016776949923
35 - 66,,1000 - 2000,ride,0.0036746760785159164
35 - 66,,1000 - 2000,walk,0.02619749583240978
35 - 66,,2000 - 5000,bike,0.0491716184948346
35 - 66,,2000 - 5000,car,0.11411797855346822
35 - 66,,2000 - 5000,pt,0.022306689932237896
35 - 66,,2000 - 5000,ride,0.012136792492456227
35 - 66,,2000 - 5000,walk,0.018279029515165603
35 - 66,,5000 - 10000,bike,0.035398019727229654
35 - 66,,5000 - 10000,car,0.09454035894030519
35 - 66,,5000 - 10000,pt,0.034279492965400546
35 - 66,,5000 - 10000,ride,0.020032209060248385
35 - 66,,5000 - 10000,walk,0.003453315854990634
35 - 66,,10000 - 20000,bike,0.011659789123137343
35 - 66,,10000 - 20000,car,0.0888379903246175
35 - 66,,10000 - 20000,pt,0.032171934101792254
35 - 66,,10000 - 20000,ride,0.013872064293135642
35 - 66,,10000 - 20000,walk,0.0017450643343965668
35 - 66,,20000+,bike,0.001444929804684246
35 - 66,,20000+,car,0.0497426815173347
35 - 66,,20000+,pt,0.023227413662085628
35 - 66,,20000+,ride,0.0037891922223100547
35 - 66,,20000+,walk,0.0
66+,,0 - 1000,bike,0.05768563038353678
66+,,0 - 1000,car,0.040035556471341854
66+,,0 - 1000,pt,0.0030270950837877897
66+,,0 - 1000,ride,0.015253518397429335
66+,,0 - 1000,walk,0.1524443337452944
66+,,1000 - 2000,bike,0.05494458029885905
66+,,1000 - 2000,car,0.06746124077453658
66+,,1000 - 2000,pt,0.013783200606534237
66+,,1000 - 2000,ride,0.021852979838957988
66+,,1000 - 2000,walk,0.05462420669234482
66+,,2000 - 5000,bike,0.043854806794926815
66+,,2000 - 5000,car,0.09200099585344285
66+,,2000 - 5000,pt,0.023538767963961184
66+,,2000 - 5000,ride,0.020717559787114783
66+,,2000 - 5000,walk,0.046530241894896934
66+,,5000 - 10000,bike,0.009081846893064476
66+,,5000 - 10000,car,0.05334730180429997
66+,,5000 - 10000,pt,0.056978521592195776
66+,,5000 - 10000,ride,0.024887660121831655
66+,,5000 - 10000,walk,0.010056823629320533
66+,,10000 - 20000,bike,0.011449945664167462
66+,,10000 - 20000,car,0.03825471232139725
66+,,10000 - 20000,pt,0.023688634481893865
66+,,10000 - 20000,ride,0.016060696315892298
66+,,10000 - 20000,walk,0.0004973618702443443
66+,,20000+,bike,0.0
66+,,20000+,car,0.03182147360595434
66+,,20000+,pt,0.0068541146993306365
66+,,20000+,ride,0.009266192413441787
66+,,20000+,walk,0.0
,very_low,0 - 1000,bike,0.05840118655984993
,very_low,0 - 1000,car,0.011373599467485507
,very_low,0 - 1000,pt,0.0
,very_low,0 - 1000,ride,0.0
,very_low,0 - 1000,walk,0.32045631311650336
,very_low,1000 - 2000,bike,0.06350203907008442
,very_low,1000 - 2000,car,0.03447057677975082
,very_low,1000 - 2000,pt,0.0
,very_low,1000 - 2000,ride,0.0
,very_low,1000 - 2000,walk,0.022977389798928282
,very_low,2000 - 5000,bike,0.07097245316662508
,very_low,2000 - 5000,car,0.03582395374189086
,very_low,2000 - 5000,pt,0.09352726112177305
,very_low,2000 - 5000,ride,0.0
,very_low,2000 - 5000,walk,0.03515463884138304
,very_low,5000 - 10000,bike,0.0890445600493144
,very_low,5000 - 10000,car,0.016210158880772322
,very_low,5000 - 10000,pt,0.045149796887032426
,very_low,5000 - 10000,ride,0.011233151557635138
,very_low,5000 - 10000,walk,0.00697595284745098
,very_low,10000 - 20000,bike,0.0
,very_low,10000 - 20000,car,0.011630054264668663
,very_low,10000 - 20000,pt,0.031224952146564722
,very_low,10000 - 20000,ride,0.012353928659751701
,very_low,10000 - 20000,walk,0.0
,very_low,20000+,bike,0.0059257655108534745
,very_low,20000+,car,0.00988775917067685
,very_low,20000+,pt,0.01370450836100486
,very_low,20000+,ride,0.0
,very_low,20000+,walk,0.0
,low,0 - 1000,bike,0.06212260970619534
,low,0 - 1000,car,0.023012790251706182
,low,0 - 1000,pt,0.0017474382986885115
,low,0 - 1000,ride,0.0013970374019350957
,low,0 - 1000,walk,0.15818584847970882
