dist,walk,ride,bike,car,pt
0,0.9248091111665159,0.0,0.0644668520556656,0.0,0.01072403677781845
100,0.8734743100653403,0.002938290328381036,0.10260921199773519,0.008902551620574274,0.012075635987969274
200,0.8150241557112411,0.010016406329055493,0.13510538008820783,0.026746043327640707,0.013108014543854938
300,0.7623351134899338,0.01670444812426971,0.16357185763524368,0.04343415167507892,0.01395442907547412
400,0.7147555663423455,0.022946313947370674,0.18877202130907964,0.05886961688561784,0.014656481515586427
500,0.6713241345829531,0.02863091695395127,0.21169903804530624,0.07307102035917132,0.01527489005861808
600,0.6284267696054364,0.03403686459243905,0.2346507213692678,0.08691890195912826,0.015966742473728424
700,0.5881574322541508,0.03925275595583503,0.2540729253932123,0.10106996675068504,0.017446919646116863
800,0.54737548167822,0.04494892726304317,0.2705273487929149,0.11580526436908567,0.021342977896736164
900,0.5095206447914852,0.051186260108214185,0.2815141757777508,0.13176014250711712,0.026018776815432843
1000,0.4758129320740296,0.05673020104218835,0.2905409103594515,0.14659649805709332,0.030319458467237072
1100,0.4488259292246879,0.06013147009457873,0.29890670858296675,0.15840197365490719,0.033733918442859466
1200,0.4215707787389154,0.062259082015135206,0.307531313880098,0.16886697789726637,0.03977184746858502
1300,0.3784512823260557,0.06529883003880882,0.3175529526106094,0.18258930574742455,0.056107629277101535
1400,0.31065324863583405,0.07434492341415622,0.33002400476732746,0.2082061241833599,0.07677169899932233
1500,0.2505411887414132,0.08654524051584192,0.3379108109405876,0.23440047586211588,0.09060228394004123
1600,0.22556004813559472,0.09516850089014504,0.3364183639857966,0.2487518592464957,0.09410122774196779
1700,0.21148918303881709,0.10099095263435309,0.3321389050210012,0.2585687110876477,0.09681224821818095
1800,0.1953049812439113,0.10765819220670562,0.32681920715422413,0.2684980920290835,0.10171952736607544
1900,0.17770411225555266,0.11497580287368499,0.32305543027135697,0.2760892560006119,0.1081753985987935
2000,0.16513294990605498,0.1219909741091667,0.320574132230035,0.28030602038860225,0.11199592336614107
2100,0.16217453065589973,0.1256864387700949,0.318628548423188,0.27859126567829207,0.11491921647252516
2200,0.15730304337960563,0.1265330437987075,0.30745239918429906,0.27528256593085093,0.13342894770653693
2300,0.14254830446478448,0.12910715540561363,0.2756152653249796,0.2893284939908754,0.16340078081374682
2400,0.13091017507241137,0.12928613761504582,0.2367765288666489,0.3103497464657227,0.19267741198017127
2500,0.13130933225588207,0.12398788737852781,0.21184601918532128,0.32284218547443694,0.21001457570583196
2600,0.14240118042098251,0.116473988399617,0.21405557546809978,0.32331466617991356,0.2037545895313871
2700,0.15070086961950444,0.10935922039670101,0.22103944171187193,0.3199141542681647,0.19898631400375794
2800,0.15261578302938944,0.10290499301444118,0.22008111127835012,0.3231042215705737,0.2012938911072457
2900,0.1518409808752364,0.09896450447688006,0.21801149225499938,0.33329371782800127,0.19788930456488285
3000,0.15467781531591085,0.09762938928831695,0.22446756650148766,0.3388949211870682,0.18433030770721628
3100,0.16205281733674368,0.09410674867925892,0.24159964670113263,0.32919768898489865,0.17304309829796594
3200,0.16608587002178427,0.0889109097497808,0.257480308752526,0.3129344045538829,0.1745885069220261
3300,0.15092982317049006,0.08966507180881293,0.2480525166062672,0.31989091857647717,0.19146166983795262
3400,0.11616343401075101,0.09837930880944633,0.21323498877755842,0.35449099610365664,0.21773127229858752
3500,0.08754810488347708,0.11302284326971396,0.18159416436245873,0.3996472718116648,0.21818761567268546
3600,0.0843081402775116,0.12174905466018882,0.17794657516202114,0.41257217154127945,0.2034240583589989
3700,0.08482904251248767,0.12821294431353208,0.18037596458206884,0.41084821026067403,0.1957338383312374
3800,0.08077789655160052,0.13473710628303118,0.179084224285944,0.41012625944365433,0.19527451343577015
