purpose,h,arrival,departure
edu,6.0,0.0001902883768748859,0.0016485980271910385
edu,7.0,0.026524997134537487,0.03759312338382507
edu,8.0,0.01953653993364484,0.008608868312828415
edu,9.0,0.002954516828960264,0.0020008309924280905
edu,10.0,0.0010327044810701143,0.0005226338114754424
edu,11.0,0.0013087775128999253,0.0016218248244547126
edu,12.0,0.0012407605831641054,0.0010543265806134028
edu,13.0,0.0006700064881335482,0.0008758680048466342
edu,14.0,0.0004426849784246405,0.0
edu,15.0,0.00047378754544752025,0.00047378754544752036
edu,16.0,0.00030067539370749096,0.0002758777737545123
edu,17.0,0.00012385363369297805,0.0003538480409893801
edu,18.0,0.00022999440729640203,0.0
home,0.0,0.0002610681634827631,0.00032922955499466145
home,1.0,0.00017023469395942653,0.0001020733024475283
home,3.0,0.0,0.0001985529314007903
home,4.0,0.00019855293140079027,0.0
home,6.0,0.0002486365843411071,0.0005300753058602854
home,7.0,0.0034645053991944367,0.0036412030457005605
home,8.0,0.005742075015490742,0.006785153190053424
home,9.0,0.011460842872676161,0.0130739887493088
home,10.0,0.015888183434169336,0.01703295179710753
home,11.0,0.01892143637381643,0.021055586006828598
home,12.0,0.023370481358173895,0.02833863442653147
home,13.0,0.031408823006554676,0.03008482475664261
home,14.0,0.027273599125490218,0.027140308660448944
home,15.0,0.03511719773873391,0.041160682960862255
home,16.0,0.05245540021435935,0.05580580850802001
home,17.0,0.047292634817134575,0.04523794094052801
home,18.0,0.046663506479242285,0.040922341661101785
home,19.0,0.028958030861759982,0.024582103261695513
home,20.0,0.020203530583320185,0.015512526002384511
home,21.0,0.010186492859338205,0.010116916803194162
home,22.0,0.009273666400570927,0.009304618951927515
home,23.0,0.004432851339443903,0.0023548307937213742
home,24.0,0.00018085763160022086,0.0
home,25.0,0.00013774372650675863,0.0
leisure,0.0,7.257928539671766e-05,7.257928539671768e-05
leisure,1.0,0.0,0.0001607354436646414
leisure,2.0,0.00016073544366464136,0.0
leisure,4.0,0.0,4.197712968339629e-05
leisure,5.0,4.1977129683396286e-05,0.000453401882563604
leisure,6.0,0.00032182046120560626,0.0002273757187568927
leisure,7.0,0.0011432768340786058,0.0028827636437459593
leisure,8.0,0.004509357649324188,0.004544064104748325
leisure,9.0,0.004375253305315785,0.004782969636127726
leisure,10.0,0.005265386887697816,0.0068796447072898585
leisure,11.0,0.005622690092129122,0.005587631709076047
leisure,12.0,0.007693788985545236,0.0059511340573450795
leisure,13.0,0.007323057325977514,0.009069950423178015
leisure,14.0,0.009387363810463742,0.009579333925389014
leisure,15.0,0.0114960918327531,0.014738661229259866
leisure,16.0,0.01872011034961274,0.01930554578941884
leisure,17.0,0.0162533429007667,0.014844091989876075
leisure,18.0,0.018950140916188126,0.01637294689063293
leisure,19.0,0.010020808047453936,0.009099412305002455
leisure,20.0,0.005124938477347881,0.0031353433749306894
leisure,21.0,0.0015767454830912847,0.0011982503270907866
leisure,22.0,0.0011892439702930536,0.0004198288873983398
leisure,23.0,0.00016979974687285134,7.086647428681068e-05
other,5.0,0.0005274952364041763,0.0005274952364041764
other,6.0,0.0,0.0007904250109817723
other,7.0,0.002438361437657578,0.002387982413237549
other,8.0,0.0035805100054995993,0.003574988408528814
other,9.0,0.0019121707834787525,0.002876546748689658
other,10.0,0.0038636437344281007,0.0030334658214677197
other,11.0,0.002435768398717707,0.002469761957094904
other,12.0,0.0018448033580142703,0.0016370056810994643
other,13.0,0.0029106396860639253,0.002779868866711194
other,14.0,0.002655850642667997,0.0025366785132697814
other,15.0,0.002670955499482491,0.0031965454401334625
other,16.0,0.003966172584382421,0.003400281963338421
other,17.0,0.0014329944942109713,0.001890271796100416
other,18.0,0.0015458888345720493,0.0010801028324785413
other,19.0,0.0010809164230940708,0.0008082435449280598
other,20.0,0.0005542895152335332,0.00043079639944371557
other,21.0,0.00018979918597203634,0.00018979918597203637
other,22.0,0.0002439614501784054,0.00024396145017840544
other,23.0,0.00037357580963156206,0.0003735758096315621
personal_business,6.0,0.00013487822915553228,0.0003575113657593527
personal_business,7.0,0.0016256365693700584,0.003680146024681935
personal_business,8.0,0.00762506560772077,0.008012958356048462
personal_business,9.0,0.010277774624062872,0.010372373872992452
personal_business,10.0,0.011577917639146604,0.012990413165560854
personal_business,11.0,0.00967336029567673,0.008544263487111146
personal_business,12.0,0.005687206169003118,0.004271643015797248
personal_business,13.0,0.004915906753744864,0.005227021587388096
personal_business,14.0,0.006871067303941715,0.006946476737106904
personal_business,15.0,0.009573429249872431,0.011428005016696142
personal_business,16.0,0.009541229746900144,0.009152901226382137
personal_business,17.0,0.008476609176676041,0.006658596091252074
personal_business,18.0,0.0056661082528694515,0.005513931589461802
personal_business,19.0,0.0028992936315209114,0.0017732002404423654
personal_business,20.0,0.0006687102594661137,0.00031235390683767155
personal_business,21.0,0.00048674846608368636,0.0004591462916924221
shopping,6.0,0.0001494275071227475,0.00022857333857562927
shopping,7.0,0.0017360637472560538,0.0020517799081211756
shopping,8.0,0.004119017371613539,0.004735471587189124
shopping,9.0,0.011600332332959016,0.012684781764438708
shopping,10.0,0.018009457454010218,0.018204920516448987
shopping,11.0,0.010672932605270595,0.009666650606318465
shopping,12.0,0.008256251971088058,0.008720122863495475
shopping,13.0,0.006999654774476171,0.006306823718984436
shopping,14.0,0.005163611894359168,0.004890469379550548
shopping,15.0,0.007971370584995715,0.007981806616342027
shopping,16.0,0.006840953188746806,0.008623689236212713
shopping,17.0,0.012092801458015232,0.01082060481008007
shopping,18.0,0.00604214650879504,0.005898100255606479
